RollNumber,DSNumber,MainFieldCoverage,SubfieldCoverage,ExtraScan,MainFieldCount,SubfieldCount
RollNo_123,Sample,100,100,0,2,800
RollNumber,DSNumber,MainFieldCoverage,SubfieldCoverage,ExtraScan,MainFieldCount,SubfieldCount
22pw04,Milestone-1,100,100,0,169,67600
RollNo_123,Sample,100,100,0,2,800
